Animal_ID,Beta_Val,deltatheta,alpha,beta,gamma
e1,b1,1.00000000000014,1.00000000000034,1.02072839154619,3.58163140379041
e2,b1,1.90108761359059,1.0000000000004,1.30438332107097,3.78258221236536
e3,b1,1.03750705621658,1.05547426344721,1.25858900568966,3.74133212871259
e4,b1,1.00000000000025,1.04652213943942,2.58296815501545,3.64265781729171
e5,b1,1.00000000013111,1.19570715536342,1.000000000002,3.66706702074575
e6,b1,1.00000000589211,1.00000000024956,1.00000000000153,3.76159985785437
e1,b2,19.3917638303782,18.8735105615711,12.1800874214271,2.80957573439163
e2,b2,13.1560851230912,26.2452761645148,13.2571893625204,2.17425668000845
e3,b2,26.6341673810409,29.5720613919813,15.6195807669732,2.64270288701352
e4,b2,33.6495540167406,30.099039999452,5.30203865539296,2.89210340117169
e5,b2,34.3422095046225,30.2416280087921,16.1528556964926,2.94516877235865
e6,b2,40.4083424093758,38.5768837420989,17.531868558187,2.59570821787469
e1,b4,0.557338683529294,0.539735460158806,0.548425182007883,0.380639586404239
e2,b4,0.679726696293234,0.605095805472157,0.553514749815761,0.327686607448523
e3,b4,0.643848793884154,0.607185812403876,0.485712509087344,0.329776342910086
e4,b4,0.638413506113528,0.602564361295542,0.439840709994345,0.372007219968653
e5,b4,0.621892857944195,0.896740918039292,0.461212877549899,0.347685333447076
e6,b4,0.739574144841803,0.652130632529575,0.469587056489427,0.348297934465377
