Animal_ID,Beta_Val,Cg1
f1,b1,3.51875036049326
f2,b1,2.13810902079314
f3,b1,1.6684791719619
f4,b1,3.77562089708869
f5,b1,3.56429534785168
f6,b1,3.97031291657163
f7,b1,3.83288490685304
f8,b1,2.06488134915711
f9,b1,3.72290396960696
f1,b2,3.18743281700517
f2,b2,8.81626216720503
f3,b2,15.2595638838613
f4,b2,2.01820236701868
f5,b2,2.81267369305801
f6,b2,2.25179155971965
f7,b2,1.90470037807687
f8,b2,6.96866820752378
f9,b2,2.18435217954931
f1,b4,0.347500520103778
f2,b4,0.466690307969731
f3,b4,0.48261717854842
f4,b4,0.321824257091235
f5,b4,0.403816633075848
f6,b4,0.345420398759293
f7,b4,0.329980249431062
f8,b4,0.364059773448271
f9,b4,0.388902586317772
