Animal_ID,Sex,LPtA,MPtA,RSG,RSD,Hipp,LHb,LPLR,VM,VPM,VPL
1,M,-43.7728069190708,-58.7311915283708,-100.743730227265,-205.957216716116,-9.21476253853015,55.3598923142279,39.682686393481,7.14062993147103,36.5415852926819,54.5708175232127
2,M,-71.6614880602593,-60.4470895360724,-35.6327987576031,-92.013110937392,54.7279504964702,82.3406517378479,123.181820170348,47.2637096536613,67.0045206175378,118.497435778038
3,M,-177.115598413935,-149.938345642083,145.033275852849,-63.9287385092441,36.8948363112232,96.3347438306733,112.492592380496,54.4869918040963,66.4695399083853,65.9262922804113
4,M,-173.031147796893,-112.751081838719,62.1193027549924,-5.27258065268319,24.0316503869015,-4.55584572277909,74.0641725585537,-8.2561280817803,-8.13591555596484,22.9317985103883
5,M,-47.9562763581197,42.8427171231725,43.1559913670018,8.98089463182873,-36.4864717097648,-14.1717321123702,-13.5250447672126,29.3000128414268,-8.09320041268334,-45.6403735174822
6,M,9.76038579406945,6.4932220302681,-37.0381391612518,-100.19664477835,-43.8385176560693,57.4050416164479,11.4763428995179,2.38575482808534,18.8338622531561,24.1529337574788
7,M,24.3941685267188,19.7953465562046,42.0380674865648,253.258992631001,5.43616071927034,12.20105272826,23.7129358945832,8.45612493272402,-6.79506530790326,5.92973508156729
8,M,3.55236624778306,10.5837318584142,282.266153522378,139.406752680704,112.228253315465,102.981298361173,98.540830469223,92.9168514864999,101.077419595089,80.4581221559982
9,M,-26.3186648301035,-116.502163582084,96.9480570780622,-54.8727726869592,-12.7132665033209,3.16258802385263,11.5600685610592,-0.197268973961105,-8.02170112294504,3.71297635193475
10,F,-114.264913694974,-26.3481035516781,2.27937860131996,43.5330298937807,-58.2624656620118,-22.9027284620129,-35.5902436365116,-16.7712733034778,-18.4217496090495,-20.8445159852125
11,F,49.8527742305486,-2.1253992170474,-57.8660718829651,-94.775878666967,12.2931215063261,-13.8283336383347,-6.5243794160501,-3.20276831679551,-14.3238428949562,-16.7936692088975
12,F,12.2388632198466,-47.0327913630966,-54.7461390108107,-286.069852968251,7.51656997188907,2.82160895279113,3.89009870747949,-2.55844473909601,8.30728030783393,11.2647907388631
13,F,-70.8944249194224,-80.6379584687319,-50.0894487099631,87.1319406411909,-33.314288979983,12.2951776230374,16.5005676988391,-13.8613224318544,11.2530589977207,9.05468647120602
14,F,8.79620164331268,37.0584364410779,162.680509142571,552.620711390713,37.9034427631382,2.62528594034774,21.9972267534632,-0.918711585362633,2.23712215380161,-2.90469812641252
15,F,3.02453730639428,-46.1280542084208,-76.7861066539755,-74.286774549025,-10.4052147666383,18.472336306161,16.6215873607995,0.0693526889125682,15.1928874732734,11.0027752085552
16,F,36.4862432714821,70.4383934510208,160.125155698819,151.937497121642,-15.9286711764285,-36.998714546343,-50.7369995566775,-20.6091869702949,-27.0206469376829,-15.7942322651155
17,F,75.7461297966348,112.415843545553,18.8336356342732,149.632254973686,-2.88858048311072,24.7023283413068,12.2850133503319,11.5662509628726,7.4664974031422,13.1675829524239
18,F,-39.6097611140974,-67.7177987153653,112.631751152917,-0.941561963692351,13.0699060170192,64.4270280372362,8.73259047862351,26.3943707725033,9.06897444813376,-2.6238290510473
