Animal_ID,Dose,Cg1,PrL,IL,M2,M1,S1,Ins,CPu,NAc
1,10,505.396449872281,177.938800984228,75.0935824674227,435.15758340193,277.99782568329,141.851149053473,41.2795620105079,107.84032776526,44.5987655932446
2,10,339.637651514957,242.064206678216,215.80854997454,197.327398600181,211.92985854869,213.02263910566,85.8891787958188,104.612957902665,67.1574360605342
3,10,514.329838435992,185.019166968881,86.7343254346861,226.948737733319,230.882213787983,114.407180459896,59.1663656908755,133.711828970684,106.897060145486
4,10,137.226604841546,187.749632658533,291.625898680573,174.106900853104,151.764966098412,162.418934057548,112.758205249027,119.920995059665,68.2203253626629
5,10,312.436887198129,354.948383697587,201.074539179594,215.373104877584,174.332373114398,167.036512413628,175.022186103351,224.108285979999,136.275977726968
6,10,460.189815013345,325.785979126005,165.345626529684,332.60377432819,195.036189147013,180.911351180582,201.108863567048,184.401701922471,86.5825665127629
7,10,138.202292388074,126.229001739578,88.0632546289677,66.0315144287318,49.0984941095946,42.6468737752989,101.840238834344,71.4092548305497,44.2167069756339
8,10,265.877913829017,306.901033094757,138.566407707356,157.849201478202,149.125218690615,149.361556441782,73.2790434861639,119.654429327887,75.5593940291723
9,10,187.539839757701,180.658879417875,46.158018585391,111.871056547198,34.7360300890286,34.5202928124095,61.4395853262009,113.248762337282,122.128492396107
10,5,175.418748694966,254.890447841645,323.055040219463,103.913351505374,213.772729180904,228.093699656968,105.850194169545,175.682450421689,105.23408383178
11,5,160.105570336624,171.996977231575,90.9490218314579,211.478828854022,157.562216364814,148.955670283684,59.2647546124101,90.3015121307254,40.9659858889015
12,5,59.1174801399283,48.6999444547997,114.17697966368,205.835367397749,286.129711365708,184.290233943126,190.470935744426,61.6192996797967,31.9578749547805
13,5,213.809776862626,277.274094974538,170.150370797282,114.371637532431,161.0983993021,162.944048193718,204.351123937876,137.200678104104,84.9414693039682
14,5,309.122539459977,208.464437536763,118.259373538669,254.492455403722,310.362783556681,143.526930694798,66.6489199273817,103.761338435726,33.6084939168575
15,5,406.514897989857,411.447888184605,176.726322467297,263.987395681922,434.26186442535,476.367055005646,234.990594921927,264.752208559704,115.47960877052
16,5,124.227369581369,147.708213863704,84.9895639264186,116.274029278593,47.5185677228764,41.7152654020482,45.6696327365352,12.9545624705621,9.66183624477659
17,5,113.600645404681,170.216470415242,106.768272442523,82.9049461229493,66.8156824448886,102.219495249797,37.9861332400258,77.5171243503074,53.7578296993775
18,5,1.49951366105143,-8.86519212184044,11.46100552644,0.172915607398335,-19.7384407698482,-17.3718695358851,7.09270208957048,-4.47278194443275,25.981803825819
19,1,371.981292050153,157.140757718144,80.0439593680132,380.399051236324,287.802826175952,124.447010275139,18.5653849827016,74.7901617214544,48.9515437632317
20,1,171.989204059813,130.258328220945,90.7462387920365,95.7581965810597,109.398386827135,109.751717897797,47.548930566363,64.5868335910947,44.1038918218926
21,1,246.850304873205,147.775431060709,63.6815944057705,201.198357067086,214.895300061929,255.417043242741,98.3088478303996,80.071015873798,50.41185967587
22,1,201.178313911228,202.236960390415,120.213673659924,222.797627124049,340.858948733107,246.663850089606,121.540209731689,140.120576308614,61.2106136681972
23,1,130.375236024054,37.1629406955845,26.8914850846823,54.7738153804203,62.627371166777,45.708080329666,17.2055702424865,22.8304455055222,30.3731652713702
24,1,137.279271571266,109.73812869997,66.9455919125021,134.452574546822,164.831409088228,149.130267563725,42.7039525805837,102.368591761432,50.0820224808063
25,1,256.702052186639,121.661535416311,88.4787990922828,261.865777262793,244.879319900552,116.367198160583,59.9085846307879,95.7526460204328,87.9957030620286
26,1,-4.74990923160277,-0.696746289565372,0.212062411610253,-11.9989645670592,-28.1817847676878,-10.7766703813973,-4.41747073560089,1.21986431087987,0.141592518272743
27,0,-10.246208219871,23.6134496531046,9.63752954833831,-7.68328435159807,-16.7652550779595,-10.3624880201644,-1.10196222046807,1.58119354636092,-0.763781887252656
28,0,-22.350188821652,-12.0920769436508,-2.75998726755591,-28.5315529606922,-36.3481512809393,-18.8099654544909,-5.82349326415252,-7.93834767187524,-9.9188405542107
29,0,17.3375073898088,35.4497853739087,47.6956983607872,24.6587095592093,23.8371486525791,17.3237670189767,11.6013975280354,10.7066443166069,5.14465695571566
30,0,-6.96899644629064,-4.00462914473544,-15.152492786711,29.0495269448456,-11.37544071573,-27.133805736972,-2.23113982333258,5.86190079816071,2.37023463435518
31,0,59.938841061472,29.2954154261798,7.62032881414073,34.194584099558,35.3261260779891,92.2025341653891,31.0700480845386,19.6747552232084,8.03333791557205
32,0,-5.98267063999638,-9.72111122560101,-5.1618213436332,-4.41137328794555,-7.9951162487511,-4.81548214542455,0.457019907102699,6.75222243013087,9.40063896651661
33,0,6.37830901876513,13.3074374752801,30.2547250136174,11.4685833727938,25.3962290109831,-3.25166364169952,1.67285834964966,10.1749740292222,25.6415737038796
34,0,175.963586494196,146.282359448699,138.986088650948,135.031928203543,140.478463623021,100.982854794711,92.0663324432539,78.3133166148468,58.1238592219422
