Animal_ID,Treatment,Sex,Cg1,PrL,IL,M2,M1,S1,Ins,CPu,NAcC,NAcSh
1,NAL+MK801,M,252.280886212063,423.045955504664,174.575270992561,123.795405464555,151.433513931766,201.244194083021,173.952116745206,184.748318252053,112.626146998138,110.101740449441
2,NAL+MK801,M,36.762131308481,60.3350670725965,77.6951156476912,66.1839487469397,99.9688350396737,79.2942807308166,66.8618354578985,41.4462455272677,24.2843110959927,25.6664308675912
3,NAL+MK801,M,75.2404844207408,26.6272409825362,31.2286970364472,83.7839418148853,144.367496074426,147.186169351328,139.935295200576,76.5011478119057,23.5592543895325,55.4282901323995
4,NAL+MK801,M,46.7075829005739,64.587599677597,80.7172160699181,94.9817902695786,169.346715232856,139.796422104341,211.663549635876,132.10967016425,46.9508366583744,65.9929640793175
5,NAL+MK801,M,116.956820328641,136.657911058724,104.861680949359,154.607202738886,234.217217288361,247.758410197281,148.874313534005,80.0580146338046,27.7979040231708,63.9403352911688
6,NAL+MK801,M,162.089373909166,156.714243112157,58.9192601168569,52.702684708972,108.518526271369,147.092274595882,69.1103620094783,79.075761202288,48.500467430796,59.2605819366732
1,VEH+MK801,M,270.354055054734,339.003790790583,318.473693368204,102.520808738565,141.488618362629,151.833703616562,152.430895363915,78.9967942640834,54.2684006051138,46.3631347161542
2,VEH+MK801,M,158.126038289432,140.006173224877,120.475177575787,183.585484796676,183.99496386255,132.553184519446,102.058417905898,95.2148124893401,42.4823179874085,48.2059434762902
3,VEH+MK801,M,100.928195024885,101.414732454813,78.0148425860786,123.451343823151,164.031902409132,181.267230162122,96.634742275091,69.1770258441035,42.9326114652769,26.9953007657392
4,VEH+MK801,M,57.8526878952181,63.6548417243523,21.9198386164695,45.1823084149076,54.9332186417653,51.9575834445089,71.174743958516,55.2916783195785,35.5616086389369,62.4265170373712
5,VEH+MK801,M,48.8462140646709,68.1821999353519,93.3558246960371,132.178174009002,228.058823785979,218.203911955811,210.07780398856,59.0469951436987,43.6402309433973,53.8893702742368
6,VEH+MK801,M,180.878061769303,149.042165381194,108.576928003611,145.184011574542,149.194337544822,180.827424177137,171.45409437392,124.367672054143,57.2595716095469,47.673209442176
